метана	вязкость газовой фазы на линии насыщения	4.073	15.8	\cdot 10^{-6} \text{Па} \cdot \text{с}	
метана	вязкость жидкой фазы на линии насыщения	144.3	15.8	\cdot 10^{-6} \text{Па} \cdot \text{с}	
метана	теплопроводность при давлении 1 бар	10	99	\cdot 10^3 \frac{\text{Вт}}{\text{м} \cdot \text{град} }	
этана	вязкость газообразного этана при 1 бар	55.2	238	\cdot 10^{-7} \text{Па} \cdot \text{с}	
этана	теплопроводность газообразного этана при р = 1 бар	13.8	65.9	\cdot 10^{-3}  \frac {\text{Вт}} {\text{м} \cdot \text{град}}	
этана	теплопроводность этана при р = 25 бар	24.1	49.4	\cdot 10^{-3}  \frac {\text{Вт}} {\text{м} \cdot \text{град}}	
этана	теплопроводность этана при р = 50 бар	33.2	51.3	\cdot 10^{-3}  \frac {\text{Вт}} {\text{м} \cdot \text{град}}	
пропана	вязкость газообразного пропана при р = 1 бар	75	218	\cdot 10^{-7} \text{Па} \cdot \text{с}	
пропана	теплоемкость пропана при р = 0.1 бар	1.35	2.91	\frac {\text{кДж}} { \text{кг} \cdot \text{град}}	
пропана	теплоемкость пропана при р = 0,5 бар	1.36	2.91	\frac {\text{кДж}} { \text{кг} \cdot \text{град}}	
пропана	теплоемкость пропана при р = 1 бар	2.25	2.91	\frac {\text{кДж}} { \text{кг} \cdot \text{град}}	
пропана	теплоемкость пропана при р = 4 бар	2.25	2.92	\frac {\text{кДж}} { \text{кг} \cdot \text{град}}	
пропана	теплоемкость пропана при р = 6 бар	2.25	2.92	\frac {\text{кДж}} { \text{кг} \cdot \text{град}}	
пропана	теплопроводность газообразного пропана при р = 1 бар	12.8	106.4	\cdot 10^{-3}  \frac {\text{Вт}} {\text{м} \cdot \text{град}}	
н-бутана	вязкость н-бутана при р = 1 бар	68.2	210	\cdot 10^{-7} \text{Па} \cdot \text{с}	
н-бутана	теплопроводность газообразного н-бутана при р = 1 бар	13.1	38.4	\cdot 10^{-3}  \frac {\text{Вт}} {\text{м} \cdot \text{град}}	
изобутана	удельный объем изобутана при р = 1 атм	537.1	796.2	\frac {\text{дм}^3}{\text{кг}}	
изобутана	удельный объем изобутана при р = 2 атм	265.1	396.7	\frac {\text{дм}^3}{\text{кг}}	
изобутана	удельный объем изобутана при р = 3 атм	174.3	263.6	\frac {\text{дм}^3}{\text{кг}}	
